CONTAINER ID   IMAGE                            COMMAND                  CREATED        STATUS                       PORTS                                                                                          NAMES
49357e161b35   projectiq-pfe-analyste-service   "java -jar app.jar"      16 hours ago   Up About an hour             0.0.0.0:8085->8080/tcp, [::]:8085->8080/tcp                                                    projectiq-analyste-service
a8f597c96711   projectiq-pfe-project-service    "java -jar app.jar"      16 hours ago   Up About an hour             0.0.0.0:8083->8083/tcp, [::]:8083->8083/tcp                                                    projectiq-project-service
25707c443825   projectiq-pfe-discovery-server   "java -jar app.jar"      16 hours ago   Up About an hour (healthy)   0.0.0.0:8761->8761/tcp, [::]:8761->8761/tcp                                                    projectiq-discovery-server
e91a17a44cdb   postgres:16-alpine               "docker-entrypoint.s"   26 hours ago   Up About an hour (healthy)   0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                                                    projectiq-postgres
4f55b7efceea   projectiq-pfe-ia-service         "uvicorn main:app --"   28 hours ago   Up About an hour             0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp                                                    projectiq-ia-service
e0562fab5523   projectiq-pfe-api-gateway        "java -jar app.jar"      46 hours ago   Up About an hour             0.0.0.0:8089->8089/tcp, [::]:8089->8089/tcp                                                    projectiq-api-gateway
30995aaa0755   projectiq-pfe-admin-service      "java -jar app.jar"      46 hours ago   Up About an hour             8082/tcp                                                                                       projectiq-admin-service
6085c0d72d04   projectiq-pfe-auth-service       "java -jar app.jar"      46 hours ago   Up About an hour             8081/tcp                                                                                       projectiq-auth-service
c10212021c61   rabbitmq:3-management-alpine     "docker-entrypoint.s"   7 weeks ago    Up About an hour (healthy)   0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp   projectiq-rabbitmq
13d011c690a6   minio/minio:latest               "/usr/bin/docker-ent"   7 weeks ago    Up About an hour (healthy)   0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp                                projectiq-minio
203fb04d4f90   axllent/mailpit:latest           "/mailpit"               7 weeks ago    Up About an hour (healthy)   0.0.0.0:1025->1025/tcp, [::]:1025->1025/tcp, 0.0.0.0:8025->8025/tcp, [::]:8025->8025/tcp       mailpit-pfe
